auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29603,1474524,0.020076309371702326,0.9904647194620094,True,147,9963,45,0.5,0.01,120,0.1,0.7,True,False,0.0,32.0,120,E,True,0.8,0.053196828264578944,530,anchor_hot_dry-0099,anchor_hot_dry,300116172,148,148,148,44,False
0,4994000,0.0,0.0,False,0,9988,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0000,anchor_cool_wet,1788288545,500,500,500,0,False
2,30342,6.59152330103487e-05,9.887284951552304e-05,False,2,10114,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.887284951552304e-05,1,anchor_cool_wet-0001,anchor_cool_wet,429299595,3,3,3,1,False
0,5024500,0.0,0.0,False,0,10049,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0002,anchor_cool_wet,1728507682,500,500,500,0,False
7,40344,0.000173507832639302,0.000297441998810232,False,3,10086,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.000297441998810232,3,anchor_cool_wet-0003,anchor_cool_wet,15810353,4,4,4,2,False
0,5015000,0.0,0.0,False,0,10030,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0004,anchor_cool_wet,1711206423,500,500,500,0,False
0,4989500,0.0,0.0,False,0,9979,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0005,anchor_cool_wet,1689907231,500,500,500,0,False
1,20304,4.9251379038613084e-05,9.850275807722617e-05,False,1,10152,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.850275807722617e-05,1,anchor_cool_wet-0006,anchor_cool_wet,1675819612,2,2,2,1,False
8,50145,0.00015953734170904378,0.0002991325157044571,False,4,10029,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002991325157044571,3,anchor_cool_wet-0007,anchor_cool_wet,1427756341,5,5,5,2,False
2,30474,6.562971713591915e-05,9.844457570387872e-05,False,2,10158,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.844457570387872e-05,1,anchor_cool_wet-0008,anchor_cool_wet,1012682731,3,3,3,1,False
1,20142,4.964750273061265e-05,9.92950054612253e-05,False,1,10071,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.92950054612253e-05,1,anchor_cool_wet-0009,anchor_cool_wet,1514331118,2,2,2,1,False
15,100130,0.00014980525317087785,0.0005992210126835114,False,9,10013,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00019974033756117049,2,anchor_cool_wet-0010,anchor_cool_wet,595114158,10,10,10,1,False
9,675226,1.3328870629981666e-05,0.0002976781107362572,False,4,10078,2,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0002976781107362572,3,anchor_cool_wet-0011,anchor_cool_wet,1676602826,67,67,67,64,False
