auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
519,360720,0.0014387890884896874,0.018562874251497007,False,35,10020,6,0.5,0.01,,,120,0.6,0.7,True,True,0.4,18.0,120,E,False,0.5,0.0029940119760479044,30,wet_cool-0005,wet_cool,1382689815,36,36,36,18,False
20,1735363,1.1524966246255106e-05,0.0007975276642408533,False,8,10031,2,0.5,0.01,,,120,0.6,0.7,True,True,0.4,18.0,120,E,False,0.5,0.0004984547901505334,5,wet_cool-0006,wet_cool,864178266,173,173,173,170,False
545,630378,0.0008645606287021438,0.01968818708774735,False,62,10006,6,0.5,0.01,,,120,0.6,0.7,True,True,0.4,18.0,120,E,False,0.5,0.001998800719568259,20,wet_cool-0007,wet_cool,1766867109,63,63,63,30,False
7,60564,0.0001155802126675913,0.0002972062611452348,False,5,10094,2,0.5,0.01,,,120,0.6,0.7,True,True,0.4,18.0,120,E,False,0.5,0.00019813750743015652,2,wet_cool-0008,wet_cool,1171300112,6,6,6,1,False
860,748806,0.0011484950708194111,0.03132720624567645,False,73,10119,8,0.5,0.01,,,120,0.6,0.7,True,True,0.4,18.0,120,E,False,0.5,0.0036564877952366833,37,wet_cool-0009,wet_cool,952224740,74,74,74,48,False
30158,1004355,0.03002723140722155,0.9909314933464761,True,98,10145,43,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.0689009364218827,699,high_conifer-0000,high_conifer,967354524,99,99,99,60,False
29756,1043952,0.02850322620197097,0.9881450488145049,True,103,10038,54,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.059374377366009166,596,high_conifer-0001,high_conifer,487991438,104,104,104,52,False
29757,3272289,0.009093634455880883,0.9912061556910163,True,150,10007,27,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.03627460777455781,363,high_conifer-0002,high_conifer,197860368,327,327,327,258,False
30185,1014900,0.029741846487338654,0.9914277268696423,True,99,10149,42,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.06946497191841561,705,high_conifer-0003,high_conifer,1190961760,100,100,100,67,False
29972,998811,0.03000767913048615,0.9902864505897512,True,98,10089,59,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07186044206561602,725,high_conifer-0004,high_conifer,1906728918,99,99,99,65,False
30125,963965,0.031251134636631,0.9896521139252982,True,94,10147,49,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.06583226569429387,668,high_conifer-0005,high_conifer,137046513,95,95,95,61,False
30269,1006731,0.03006662157021091,0.9922312911790736,True,98,10169,49,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07070508407906383,719,high_conifer-0006,high_conifer,1843166518,99,99,99,65,False
29861,1104510,0.027035518012512336,0.9913355243501644,True,109,10041,46,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.06612887162633203,664,high_conifer-0007,high_conifer,1777324407,110,110,110,61,False
29894,997128,0.02998010285540071,0.9893764892772041,True,98,10072,44,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.06056393963463066,610,high_conifer-0008,high_conifer,594336917,99,99,99,67,False
30245,1036830,0.029170645139511783,0.991834727004427,True,101,10165,47,0.8,0.01,0.8,0.7,120,0.4,0.7,True,False,0.0,20.0,120,E,False,0.5,0.07240531234628628,736,high_conifer-0009,high_conifer,1356488967,102,102,102,64,False
29969,1153565,0.025979463662645797,0.9959126707207656,True,114,10031,30,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06300468547502741,632,extreme_dry_heat-0000,extreme_dry_heat,354826746,115,115,115,57,False
30194,1081984,0.027906142789542173,0.9953520569620253,True,106,10112,41,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06210443037974683,628,extreme_dry_heat-0001,extreme_dry_heat,1627981024,107,107,107,56,False
29900,1162784,0.025714148113493134,0.9943136472466081,True,115,10024,36,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06394652833200319,641,extreme_dry_heat-0002,extreme_dry_heat,1504361614,116,116,116,59,False
30125,1231346,0.024465097543663602,0.9949469929654216,True,121,10093,52,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.06727434855840682,679,extreme_dry_heat-0003,extreme_dry_heat,761338718,122,122,122,59,False
29528,1298341,0.022742869554300448,0.9931389365351629,True,130,9911,36,0.5,0.01,,,120,0.05,0.7,True,False,0.0,30.0,120,E,True,0.7,0.060034305317324184,595,extreme_dry_heat-0004,extreme_dry_heat,145857092,131,131,131,59,False
