auc,auc_normalization_denominator,auc_normalized,baf,burned_components,critical,fire_duration,ignition_succeeded,initial_tree_cells,largest_cluster_share,max_spread_rate,no_ignition,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,shape_complexity,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
29921,1337688,0.02236769710126726,0.9842115650286165,1,True,131,True,10134,1.0,49,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05131241365699625,520,dry_windy-0037,dry_windy,66180795,1.2007218768798877,132,132,132,50,False
29969,1182168,0.02535088075468123,0.9887173396674585,1,True,116,True,10104,1.0,41,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05868962787015043,593,dry_windy-0038,dry_windy,746248853,1.2096096096096096,117,117,117,59,False
29375,1382622,0.021245864741049975,0.977343048208404,1,True,137,True,10019,1.0,43,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05938716438766344,595,dry_windy-0039,dry_windy,937843451,1.2348856209150327,138,138,138,59,False
29627,1516656,0.01953442309923938,0.9897775105231509,1,True,151,True,9978,1.0,38,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.056323912607737024,562,dry_windy-0040,dry_windy,2110414630,1.2498987444309437,152,152,152,57,False
29753,1267812,0.02346799052225409,0.9856887298747764,1,True,125,True,10062,1.0,44,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.07185450208706022,723,dry_windy-0041,dry_windy,460817075,1.2171808832425892,126,126,126,57,False
29900,1342236,0.022276261402614742,0.9876139516448672,1,True,132,True,10092,1.0,41,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.058363059849385654,589,dry_windy-0042,dry_windy,593883018,1.2158121801946422,133,133,133,58,False
30032,1384933,0.021684803524791452,0.9903056682164408,1,True,136,True,10109,1.0,36,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05509941636165793,557,dry_windy-0043,dry_windy,877308581,1.2166616721606234,137,137,137,58,False
29909,1440582,0.020761747682533863,0.9896763946793726,1,True,142,True,10074,1.0,43,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.061941631923764146,624,dry_windy-0044,dry_windy,2131733183,1.2176529588766298,143,143,143,59,False
29696,1579368,0.018802457691937533,0.990296118447379,1,True,157,True,9996,1.0,28,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05182072829131653,518,dry_windy-0045,dry_windy,1832669143,1.2526517830083848,158,158,158,59,False
30164,1339272,0.02252268396561714,0.9910309481569092,1,True,131,True,10146,1.0,55,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.058446678493987776,593,dry_windy-0046,dry_windy,74502574,1.2077573346593735,132,132,132,60,False
29612,1866073,0.01586861821590045,0.9891772722717708,1,True,186,True,9979,1.0,36,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05681932057320373,567,dry_windy-0047,dry_windy,502381220,1.246682200384966,187,187,187,59,False
29723,1515738,0.019609589520088563,0.9870492129906356,1,True,150,True,10038,1.0,45,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05439330543933055,546,dry_windy-0048,dry_windy,1764532444,1.2276947920872023,151,151,151,58,False
29906,1476468,0.020255095267896088,0.9925328554360813,1,True,146,True,10044,1.0,49,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05595380326563122,562,dry_windy-0049,dry_windy,125204183,1.2402447587521317,147,147,147,59,False
29714,1510950,0.019665773189053246,0.9833217512161223,1,True,149,True,10073,1.0,60,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06105430358383798,615,dry_windy-0050,dry_windy,1837539164,1.2218071680969207,150,150,150,57,False
29732,1373425,0.021648069607004387,0.9886284289276808,1,True,136,True,10025,1.0,50,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06234413965087282,625,dry_windy-0051,dry_windy,604267306,1.2335788517808495,137,137,137,60,False
29684,1323300,0.02243179928965465,0.9870324189526185,1,True,131,True,10025,1.0,30,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06423940149625935,644,dry_windy-0052,dry_windy,1970642945,1.2258716523496715,132,132,132,60,False
29645,1386210,0.021385648639095086,0.9837730214036834,1,True,137,True,10045,1.0,34,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.048183175709308114,484,dry_windy-0053,dry_windy,630487793,1.2408419348310058,138,138,138,41,False
29711,1372740,0.021643574165537537,0.9884231536926148,1,True,136,True,10020,1.0,45,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.053592814371257486,537,dry_windy-0054,dry_windy,932688237,1.2394991922455574,137,137,137,59,False
29711,1390973,0.021359868236119607,0.9897072049565304,1,True,138,True,10007,1.0,49,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06435495153392626,644,dry_windy-0055,dry_windy,1421454890,1.23202746365105,139,139,139,59,False
30101,1464790,0.020549703370449007,0.9932686596713522,1,True,144,True,10102,1.0,44,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.0595921599683231,602,dry_windy-0056,dry_windy,271185813,1.2256328483157266,145,145,145,59,False
29828,1408400,0.02117864243112752,0.9883697813121273,1,True,139,True,10060,1.0,30,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05546719681908549,558,dry_windy-0057,dry_windy,1196217437,1.220356029367394,140,140,140,56,False
29825,1397923,0.021335223756959433,0.9885651784826489,1,True,138,True,10057,1.0,45,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06483046634185145,652,dry_windy-0058,dry_windy,1084512517,1.2170589418628042,139,139,139,59,False
29885,1670126,0.017893859505210986,0.9901600238544876,1,True,165,True,10061,1.0,48,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.060431368651227516,608,dry_windy-0059,dry_windy,1683408584,1.225456735595262,166,166,166,59,False
30206,1361574,0.022184618683964295,0.9909457730538332,1,True,133,True,10161,1.0,34,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.0595413837220746,605,dry_windy-0060,dry_windy,2139123293,1.1949548117985898,134,134,134,55,False
29552,1358370,0.021755486354969558,0.9790300139137349,1,True,134,True,10062,1.0,38,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.055853707016497715,562,dry_windy-0061,dry_windy,1426602463,1.2189625418739214,135,135,135,59,False
29681,1338778,0.022170217915143512,0.9829127756805086,1,True,132,True,10066,1.0,39,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05682495529505265,572,dry_windy-0062,dry_windy,878721193,1.2346876895087933,133,133,133,54,False
30242,1393564,0.021701192051459425,0.9910538733779001,1,True,136,True,10172,1.0,46,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05564294140778608,566,dry_windy-0063,dry_windy,872709139,1.2008729292728897,137,137,137,59,False
29855,1304160,0.022892129800024537,0.9920255183413078,1,True,129,True,10032,1.0,49,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05990829346092504,601,dry_windy-0064,dry_windy,897559571,1.2437700964630225,130,130,130,58,False
29960,1519815,0.01971292558633781,0.9922503725782414,1,True,150,True,10065,1.0,41,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05851962245404868,589,dry_windy-0065,dry_windy,1748095464,1.2269950936217082,151,151,151,60,False
29888,1700140,0.01757972872822238,0.9903578528827037,1,True,168,True,10060,1.0,51,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.0510934393638171,514,dry_windy-0066,dry_windy,689805532,1.232761216501054,169,169,169,54,False
29618,1399580,0.021162062904585662,0.9875962788836651,1,True,139,True,9997,1.0,48,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05951785535660698,595,dry_windy-0067,dry_windy,358571614,1.2480502380228906,140,140,140,55,False
29951,1400842,0.021380712457222156,0.990672752530264,1,True,138,True,10078,1.0,32,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05675729311371304,572,dry_windy-0068,dry_windy,717885406,1.2189503205128205,139,139,139,55,False
30029,1774080,0.01692651966089466,0.9930555555555556,1,True,175,True,10080,1.0,47,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05853174603174603,590,dry_windy-0069,dry_windy,48773805,1.2423576423576423,176,176,176,58,False
29870,1522684,0.019616676867951592,0.9874057913526378,1,True,150,True,10084,1.0,40,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.060491868306227686,610,dry_windy-0070,dry_windy,227939460,1.214422014663051,151,151,151,59,False
29471,1663984,0.017711107799113453,0.9800478850758181,1,True,165,True,10024,1.0,43,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05566640063846768,558,dry_windy-0071,dry_windy,193376308,1.2455211726384365,166,166,166,55,False
29981,1354606,0.022132634876857182,0.9886239984172519,1,True,133,True,10109,1.0,38,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05777030368978138,584,dry_windy-0072,dry_windy,1656896191,1.2121272763658195,134,134,134,60,False
29801,1456670,0.0204583055874014,0.9888512840931714,1,True,144,True,10046,1.0,51,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.062014732231734024,623,dry_windy-0073,dry_windy,1551254892,1.2295147976645864,145,145,145,54,False
29816,1449792,0.020565708736149737,0.9871871275327772,1,True,143,True,10068,1.0,41,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.054529201430274135,549,dry_windy-0074,dry_windy,1496303881,1.2274876748163799,144,144,144,57,False
30080,1506390,0.019968268509482936,0.9917903066271019,1,True,148,True,10110,1.0,46,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05321463897131553,538,dry_windy-0075,dry_windy,991873798,1.213324025132143,149,149,149,56,False
30050,1437750,0.020900712919492262,0.9893333333333333,1,True,141,True,10125,1.0,39,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05985185185185185,606,dry_windy-0076,dry_windy,1539871429,1.199560746730558,142,142,142,59,False
30173,1520250,0.0198473935208025,0.9924025653675382,1,True,149,True,10135,1.0,27,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05742476566354218,582,dry_windy-0077,dry_windy,346328507,1.2044143965002982,150,150,150,60,False
29810,1363264,0.021866637716539128,0.9913208300079809,1,True,135,True,10024,1.0,47,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06634078212290503,665,dry_windy-0078,dry_windy,1934070332,1.2345778403944851,136,136,136,59,False
30173,1250910,0.02412084002845928,0.9889872173058014,1,True,122,True,10170,1.0,51,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.06420845624385448,653,dry_windy-0079,dry_windy,1075985460,1.1904951282561145,123,123,123,59,False
29600,1471972,0.02010907816181286,0.9786748660979965,1,True,145,True,10082,1.0,42,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05207300138861337,525,dry_windy-0080,dry_windy,2014450023,1.2062430323299889,146,146,146,59,False
29897,1630530,0.018335755858524528,0.9901639344262295,1,True,161,True,10065,1.0,42,False,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05583705911574764,562,dry_windy-0081,dry_windy,327087749,1.230583985550873,162,162,162,59,False
