auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak
0,99510,0.0,0.0,False,0,9951,0,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0,0,baseline-0000,baseline,191664963,10,10,10,0
370,101860,0.0036324366777930493,0.007068525427056745,False,10,10186,14,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.00755939524838013,77,dry_windy-0000,dry_windy,1662057957,10,10,10,10
79,100850,0.0007833415964303421,0.002478929102627665,False,10,10085,5,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0015865146256817055,16,wet_cool-0000,wet_cool,1405681631,10,10,10,7
683,100110,0.0068224952552192585,0.013984616921386474,False,10,10011,22,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.014184397163120567,142,high_conifer-0000,high_conifer,942484272,10,10,10,10
